id,name,type,frameType,description,level,atk,def,race,attribute,archetype
34541863,"""A"" Cell Breeding Device",Spell Card,spell,During each of your Standby Phases  put 1 A-Counter on 1 face-up monster your opponent controls.,,,,Continuous,,Alien
64163367,"""A"" Cell Incubator",Spell Card,spell,Each time an A-Counter(s) is removed from play by a card effect  place 1 A-Counter on this card. When this card is destroyed  distribute the A-Counters on this card among face-up monsters.,,,,Continuous,,Alien
91231901,"""A"" Cell Recombination Device",Spell Card,spell,"Target 1 face-up monster on the field; send 1 ""Alien"" monster from your Deck to the Graveyard  and if you do  place A-Counters on that monster equal to the Level of the sent monster. During your Main Phase  except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard; add 1 ""Alien"" monster from your Deck to your hand.",,,,Quick-Play,,Alien
73262676,"""A"" Cell Scatter Burst",Spell Card,spell,"Select 1 face-up ""Alien"" monster you control. Destroy it and distribute new A-Counters equal to its Level among your opponent's face-up monsters.",,,,Quick-Play,,Alien
98319530,"""Infernoble Arms - Almace""",Spell Card,spell,"While this card is equipped to a monster: You can equip 1 ""Infernoble Arms"" Equip Spell from your Deck or GY  except """"Infernoble Arms - Almace""""  to 1 appropriate monster you control  then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 of your FIRE Warrior monsters that is banished or in your GY; add it to your hand. You can only use 1 """"Infernoble Arms - Almace"""" effect per turn  and only once that turn.",,,,Equip,,Infernoble Arms
37478723,"""Infernoble Arms - Durendal""",Spell Card,spell,"While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand  then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it  also you cannot Special Summon monsters for the rest of the turn  except Warrior monsters. You can only use 1 """"Infernoble Arms - Durendal"""" effect per turn  and only once that turn.",,,,Equip,,Noble Knight
64867422,"""Infernoble Arms - Hauteclere""",Spell Card,spell,"While this card is equipped to a monster: You can target 1 face-up monster you control; this turn  you cannot declare attacks  except with that monster  also it gains the ability this turn to make a second attack during each Battle Phase  then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 """"Infernoble Arms - Hauteclere"""" effect per turn  and only once that turn.",,,,Equip,,Noble Knight
90861137,"""Infernoble Arms - Joyeuse""",Spell Card,spell,"While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand  then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 """"Infernoble Arms - Joyeuse"""" effect per turn  and only once that turn.",,,,Equip,,Noble Knight
44256816,1st Movement Solo,Spell Card,spell,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card  except ""Melodious"" monsters.",,,,Normal,,Melodious
86988864,3-Hump Lacooda,Effect Monster,effect,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field  Tribute 2 of them to draw 3 cards.",3,500,1500,Beast,EARTH,
11714098,"30,000-Year White Turtle",Normal Monster,normal,A huge turtle that has existed for more than 30 000 years.,5,1250,2100,Aqua,WATER,
83994646,4-Starred Ladybug of Doom,Flip Effect Monster,effect,FLIP: Destroy all Level 4 monsters your opponent controls.,3,800,1200,Insect,WIND,
67048711,7,Spell Card,spell,"When there are 3 face-up ""7"" cards on your side of the field  draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard  increase your Life Points by 700 points.",,,,Continuous,,
23771716,7 Colored Fish,Normal Monster,normal,A rare rainbow fish that has never been caught by mortal man.,4,1800,800,Fish,WATER,
86198326,7 Completed,Spell Card,spell,Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF  depending on the choice.,,,,Equip,,
14261867,8-Claws Scorpion,Effect Monster,effect,Once per turn  you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster  this card's ATK becomes 2400 during damage calculation only.,2,300,200,Insect,DARK,
24140059,A Cat of Ill Omen,Flip Effect Monster,effect,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck  or  if ""Necrovalley"" is on the field  you can add that Trap to your hand instead.",2,500,300,Beast,DARK,
6850209,A Deal with Dark Ruler,Spell Card,spell,"(This card is always treated as an ""Archfiend"" card.) If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",,,,Quick-Play,,Archfiend
49140998,A Feather of the Phoenix,Spell Card,spell,Discard 1 card  then target 1 card in your GY; return that target to the top of your Deck.,,,,Normal,,
68170903,A Feint Plan,Trap Card,trap,A player cannot attack face-down monsters during this turn.,,,,Normal,,
21597117,A Hero Emerges,Trap Card,trap,When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand  then if it is a monster that can be Special Summoned  Special Summon it. Otherwise  send it to the Graveyard.,,,,Normal,,
8949584,A Hero Lives,Spell Card,spell,"If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your Deck.",,,,Normal,,Elemental HERO
295517,A Legendary Ocean,Spell Card,spell,"(This card's name is always treated as ""Umi"".)  All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,,,Field,,Umi
32207100,A Major Upset,Trap Card,trap,Tribute 1 face-up Attack Position Level 2 or lower monster you control; return all Level 7 or higher Special Summoned monsters to the hand.,,,,Normal,,
51351302,A Man with Wdjat,Effect Monster,effect,When you Normal Summon this card  and during each of your Standby Phases  select 1 Set card on your opponent's side of the field. Pick it up and look at it  then return it to its original position.,4,1600,1600,Spellcaster,DARK,
5728014,A Rival Appears!,Trap Card,trap,Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.,,,,Normal,,
44553392,"A Shattered, Colorless Realm",Trap Card,trap,"If ""Vicious Astraloud"" is on the field: Target 1 card on the field; destroy it  then  if the destroyed card's original name was ""Vicious Astraloud""  you can Special Summon 1 of your banished ""Visas Starfrost""  or if it was not  you can make 1 ""Vicious Astraloud"" you control gain 1500 ATK.",,,,Normal,,
23587624,A Wild Monster Appears!,Spell Card,spell,If your opponent controls a monster and you control no monsters: Special Summon from your hand  1 monster with an original Level of 10 or lower that cannot be Normal Summoned/Set  ignoring its Summoning conditions. It is unaffected by the effects of your cards  except for its own effects and this card's  also shuffle it into the Deck during your opponent's next End Phase. For the rest of this turn  you cannot Normal Summon/Set or Special Summon monsters  and your opponent takes no damage.,,,,Normal,,
28596933,A Wingbeat of Giant Dragon,Spell Card,spell,Return 1 Level 5 or higher Dragon-Type monster you control to the hand  and if you do  destroy all Spell and Trap Cards on the field.,,,,Normal,,
30012506,A-Assault Core,Union Effect Monster,effect,Once per turn  you can either: Target 1 LIGHT Machine monster you control; equip this card to that target  OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own)  also if the equipped monster would be destroyed by battle or card effect  destroy this card instead. If this card is sent from the field to the GY: You can add 1 other Union monster from your GY to your hand.,4,1900,200,Machine,LIGHT,ABC
13026402,A-Team: Trap Disposal Unit,Effect Monster,effect,This effect can be used during either player's turn. When your opponent activates a Trap Card  Tribute this face-up card to negate the activation of the Trap Card and destroy it.,2,300,400,Machine,FIRE,
65172015,A-to-Z-Dragon Buster Cannon,Fusion Monster,fusion,"""ABC-Dragon Buster"" + ""XYZ-Dragon Cannon"" Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names  and cannot be Special Summoned by other ways. (You do not use ""Polymerization"".) During either player's turn  when your opponent activates a Spell/Trap Card  or monster effect: You can discard 1 card; negate the activation  and if you do  destroy that card. During either player's turn: You can banish this card  then target 1 each of your banished ""ABC-Dragon Buster""  and ""XYZ-Dragon Cannon""; Special Summon them.",10,4000,4000,Machine,LIGHT,ABC
28645123,A.I. Challenge You,Trap Card,trap,"Monsters your opponent controls lose 100 ATK for each card you control. If your ""@Ignister"" monster battles  your opponent cannot activate cards or effects until the end of the Damage Step. When your ""@Ignister"" monster is destroyed by battle: You can target 1 other Cyberse monster with 2300 ATK in your GY; Special Summon it. You can only use this effect of ""A.I. Challenge You"" once per turn.",,,,Continuous,,A.I.
10493654,A.I. Contact,Spell Card,spell,"If ""Ignister A.I.Land"" is in your Field Zone: Reveal 1 ""Ignister A.I.Land"" in your hand; place it on the bottom of the Deck  and if you do  draw 3 cards. You can only activate 1 ""A.I. Contact"" per turn.",,,,Normal,,@Ignister
59332125,A.I. Love Fusion,Spell Card,spell,"Fusion Summon 1 Cyberse Fusion Monster from your Extra Deck  using monsters from your hand or field as Fusion Material. If you use your ""@Ignister"" monster as Fusion Material  you can also use 1 Link Monster your opponent controls as material. You can only activate 1 ""A.I. Love Fusion"" per turn.",,,,Normal,,@Ignister
6552971,A.I. Meet You,Spell Card,spell,"Reveal 1 Cyberse monster with 2300 ATK in your hand or Extra Deck  and add 1 ""@Ignister"" monster with the same Attribute from your Deck to your hand. During the End Phase of this turn  take 2300 damage if you did not Special Summon the revealed monster  or a monster with the same name  after you resolved this effect. You cannot activate monster effects for the rest of this turn after this card resolves  except Cyberse monsters. You can only activate 1 ""A.I. Meet You"" per turn.",,,,Normal,,A.I.
77421977,A.I. Shadow,Trap Card,trap,"Activate this card by targeting 1 ""@Ignister"" monster you control. That monster gains 800 ATK  also all monsters your opponent controls must attack that monster you control  if able. If this face-up card in its owner's Spell & Trap Zone has left the field because of an opponent's effect  and is now in the GY or banished: Draw 1 card. You can only use this effect of ""A.I. Shadow"" once per turn.",,,,Continuous,,@Ignister
85327820,A.I.'s Ritual,Spell Card,spell,"This card can be used to Ritual Summon any Cyberse Ritual Monster. You must also Tribute ""@Ignister"" monsters from your hand or field whose total Levels equal or exceed the Level of the Ritual Monster you Ritual Summon. If you control an ""@Ignister"" monster when this effect is activated  you can also use ""@Ignister"" monster(s) in your GY  by banishing them.",,,,Ritual,,@Ignister
54374642,A.I.'s Show,Trap Card,trap,"While you control a Link-3 or higher ""@Ignister"" monster in the Extra Monster Zone  when an opponent's monster declares an attack: Special Summon from your Extra Deck any number of non-Link Cyberse monster(s) with 2300 ATK  whose combined ATK is less than or equal to the attacking monster's ATK  then end the Battle Phase.",,,,Normal,,A.I.
22933016,A.I.dle Reborn,Spell Card,spell,"Target 1 ""@Ignister"" monster in your GY; Special Summon it  also you cannot Special Summon monsters for the rest of this turn after this card resolves  except Cyberse monsters. When an attack is declared involving 2 monsters: You can banish this card from your GY and 1 card from your hand  then target 1 of your ""A.I."" Spells/Traps that is banished or in your GY  except ""A.I.dle Reborn""; add that card to your hand. You can only use each effect of ""A.I.dle Reborn"" once per turn.",,,,Quick-Play,,@Ignister
69381150,A.I.Q,Trap Card,trap,"Activate only if you control an ""@Ignister"" monster. Once per turn  during your Standby Phase  Tribute 1 Link Monster  or destroy this card. Each player can only Link Summon a monster once per turn while this card is face-up on the field.",,,,Continuous,,@Ignister
96146814,A/D Changer,Effect Monster,effect,You can banish this card from your Graveyard  then target 1 monster on the field; change its battle position.,1,100,100,Warrior,LIGHT,
12694768,Abaki,Effect Monster,effect,When this card is destroyed and sent to the Graveyard by battle  both players take 500 damage.,4,1700,1100,Fiend,FIRE,
89718302,Abare Ushioni,Effect Monster,effect,Once per turn  you can toss a coin and call it. If you call it right  inflict 1000 damage to your opponent. If you call it wrong  you take 1000 damage.,4,1200,1200,Beast-Warrior,EARTH,
1561110,ABC-Dragon Buster,Fusion Monster,fusion,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""  Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your GY. (You do not use ""Polymerization"".) Once per turn (Quick Effect): You can discard 1 card  then target 1 card on the field; banish it. During your opponent's turn (Quick Effect): You can Tribute this card  then target 3 of your banished LIGHT Machine Union monsters with different names; Special Summon them.",8,3000,2800,Machine,LIGHT,ABC
80801743,Abominable Chamber of the Unchained,Trap Card,trap,"Special Summon 1 ""Unchained"" monster from your hand or GY. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abominable Chamber of the Unchained"" once per turn.",,,,Normal,,Unchained
1966438,Abominable Unchained Soul,Effect Monster,effect,"You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn  during the End Phase  if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card  but place it on the bottom of the Deck when it leaves the field.",8,3000,1500,Fiend,DARK,
27412542,Abomination's Prison,Spell Card,spell,"Add 1 ""Unchained"" card from your Deck to your hand. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abomination's Prison"" once per turn.",,,,Normal,,Unchained
70832512,Absolute Crusader,Effect Monster,effect,If a Level 5 or higher monster(s) is Special Summoned: Tribute this face-up card; destroy that Level 5 or higher monster(s).,4,1800,1200,Warrior,EARTH,
